,value_normalized
6031,"[1.0, 0.3333333333333333, 1.0, 0.1111111111111111, 1.0]"
6032,[1.0]
6033,"[1.0, 0.5555555555555556]"
6034,"[1.0, 0.5555555555555556, 1.0]"
6035,"[1.0, 0.5555555555555556, 1.0, 0.6666666666666666]"
6036,[1.0]
6037,"[1.0, 1.0]"
6038,"[1.0, 1.0, 0.5384615384615384]"
6039,"[1.0, 1.0, 0.5384615384615384, 1.0]"
6040,"[1.0, 1.0, 0.5384615384615384, 1.0, 1.0]"
6041,[1.0]
6042,"[1.0, 1.0]"
6043,"[1.0, 1.0, 1.0]"
6044,"[1.0, 1.0, 1.0, 1.0]"
6045,[1.0]
6046,"[1.0, 0.6666666666666666]"
6047,"[1.0, 0.6666666666666666, 1.0]"
6048,"[1.0, 0.6666666666666666, 1.0, 0.5555555555555556]"
6049,[1.0]
6050,"[1.0, 1.0]"
6051,"[1.0, 1.0, 1.0]"
6052,[0.238095238095238]
6053,"[0.238095238095238, 1.0]"
6054,"[0.238095238095238, 1.0, 0.3333333333333333]"
6055,"[0.238095238095238, 1.0, 0.3333333333333333, 1.0]"
6056,"[0.238095238095238, 1.0, 0.3333333333333333, 1.0, 0.3846153846153846]"
6057,[1.0]
6058,"[1.0, 1.0]"
6059,"[1.0, 1.0, 0.3333333333333333]"
6060,"[1.0, 1.0, 0.3333333333333333, 0.1111111111111111]"
6061,"[1.0, 1.0, 0.3333333333333333, 0.1111111111111111, 1.0]"
6062,[0.5555555555555556]
6063,"[0.5555555555555556, 1.0]"
6064,"[0.5555555555555556, 1.0, 0.8095238095238095]"
6065,[1.0]
6066,"[1.0, 0.2]"
6067,"[1.0, 0.2, 1.0]"
6068,"[1.0, 0.2, 1.0, 1.0]"
6069,[0.2]
6070,"[0.2, 0.5384615384615384]"
6071,"[0.2, 0.5384615384615384, 1.0]"
6072,"[0.2, 0.5384615384615384, 1.0, 1.0]"
6073,[1.0]
6074,"[1.0, 1.0]"
6075,"[1.0, 1.0, 0.4285714285714285]"
6076,[1.0]
6077,"[1.0, 0.6923076923076923]"
6078,"[1.0, 0.6923076923076923, 0.5555555555555556]"
6079,"[1.0, 0.6923076923076923, 0.5555555555555556, 1.0]"
6080,[1.0]
6081,"[1.0, 0.8095238095238095]"
6082,"[1.0, 0.8095238095238095, 1.0]"
6083,"[1.0, 0.8095238095238095, 1.0, 1.0]"
6084,[1.0]
6085,"[1.0, 1.0]"
6086,"[1.0, 1.0, 1.0]"
6087,"[1.0, 1.0, 1.0, 1.0]"
6088,[1.0]
6089,"[1.0, 0.4285714285714285]"
6090,"[1.0, 0.4285714285714285, 1.0]"
6091,"[1.0, 0.4285714285714285, 1.0, 1.0]"
6092,[0.8461538461538461]
6093,"[0.8461538461538461, 1.0]"
6094,"[0.8461538461538461, 1.0, 1.0]"
6095,"[0.8461538461538461, 1.0, 1.0, 0.6]"
6096,"[0.8461538461538461, 1.0, 1.0, 0.6, 1.0]"
6097,[1.0]
6098,"[1.0, 0.7777777777777778]"
6099,"[1.0, 0.7777777777777778, 1.0]"
6100,"[1.0, 0.7777777777777778, 1.0, 1.0]"
6101,"[1.0, 0.7777777777777778, 1.0, 1.0, 1.0]"
6102,[1.0]
6103,"[1.0, 1.0]"
6104,"[1.0, 1.0, 1.0]"
6105,"[1.0, 1.0, 1.0, 0.8461538461538461]"
6106,[1.0]
6107,"[1.0, 1.0]"
6108,"[1.0, 1.0, 0.8]"
6109,"[1.0, 1.0, 0.8, 1.0]"
6110,[1.0]
6111,"[1.0, 1.0]"
6112,"[1.0, 1.0, 0.3333333333333333]"
6113,"[1.0, 1.0, 0.3333333333333333, 0.5555555555555556]"
6114,[1.0]
6115,"[1.0, 0.8]"
6116,"[1.0, 0.8, 1.0]"
6117,"[1.0, 0.8, 1.0, 1.0]"
6118,[1.0]
6119,"[1.0, 0.3333333333333333]"
6120,"[1.0, 0.3333333333333333, 0.7777777777777778]"
6121,"[1.0, 0.3333333333333333, 0.7777777777777778, 1.0]"
6122,[1.0]
6123,"[1.0, 1.0]"
6124,"[1.0, 1.0, 1.0]"
6125,"[1.0, 1.0, 1.0, 0.5555555555555556]"
6126,[1.0]
6127,"[1.0, 1.0]"
6128,"[1.0, 1.0, 0.4285714285714285]"
6129,"[1.0, 1.0, 0.4285714285714285, 0.3846153846153846]"
6130,[1.0]
6131,"[1.0, 1.0]"
6132,"[1.0, 1.0, 1.0]"
6133,"[1.0, 1.0, 1.0, 1.0]"
6134,"[1.0, 1.0, 1.0, 1.0, 0.5555555555555556]"
6135,[1.0]
6136,"[1.0, 1.0]"
6137,"[1.0, 1.0, 1.0]"
6138,[1.0]
6139,"[1.0, 0.1111111111111111]"
6140,"[1.0, 0.1111111111111111, 1.0]"
6141,"[1.0, 0.1111111111111111, 1.0, 1.0]"
6142,[1.0]
6143,"[1.0, 0.8]"
6144,"[1.0, 0.8, 1.0]"
6145,"[1.0, 0.8, 1.0, 1.0]"
6146,"[1.0, 0.8, 1.0, 1.0, 1.0]"
6147,[1.0]
6148,"[1.0, 1.0]"
6149,"[1.0, 1.0, 0.7777777777777778]"
6150,"[1.0, 1.0, 0.7777777777777778, 1.0]"
6151,[0.5555555555555556]
6152,"[0.5555555555555556, 1.0]"
6153,"[0.5555555555555556, 1.0, 1.0]"
6154,"[0.5555555555555556, 1.0, 1.0, 1.0]"
6155,[1.0]
6156,"[1.0, 1.0]"
6157,"[1.0, 1.0, 1.0]"
6158,"[1.0, 1.0, 1.0, 1.0]"
6159,[1.0]
6160,"[1.0, 1.0]"
6161,"[1.0, 1.0, 1.0]"
6162,"[1.0, 1.0, 1.0, 0.8095238095238095]"
6163,"[1.0, 1.0, 1.0, 0.8095238095238095, 1.0]"
6164,[0.8095238095238095]
6165,"[0.8095238095238095, 1.0]"
6166,"[0.8095238095238095, 1.0, 1.0]"
6167,"[0.8095238095238095, 1.0, 1.0, 1.0]"
6168,[0.6]
6169,"[0.6, 1.0]"
6170,"[0.6, 1.0, 1.0]"
6171,"[0.6, 1.0, 1.0, 0.238095238095238]"
6172,[1.0]
6173,"[1.0, 0.6190476190476191]"
6174,"[1.0, 0.6190476190476191, 1.0]"
6175,"[1.0, 0.6190476190476191, 1.0, 0.6]"
6176,"[1.0, 0.6190476190476191, 1.0, 0.6, 1.0]"
6177,[1.0]
6178,"[1.0, 1.0]"
6179,"[1.0, 1.0, 1.0]"
6180,"[1.0, 1.0, 1.0, 1.0]"
6181,"[1.0, 1.0, 1.0, 1.0, 1.0]"
6182,[0.2]
6183,"[0.2, 0.3333333333333333]"
6184,"[0.2, 0.3333333333333333, 1.0]"
6185,"[0.2, 0.3333333333333333, 1.0, 1.0]"
6186,"[0.2, 0.3333333333333333, 1.0, 1.0, 1.0]"
6187,[1.0]
6188,"[1.0, 0.3333333333333333]"
6189,"[1.0, 0.3333333333333333, 0.8461538461538461]"
6190,"[1.0, 0.3333333333333333, 0.8461538461538461, 1.0]"
6191,"[1.0, 0.3333333333333333, 0.8461538461538461, 1.0, 1.0]"
6192,[0.1111111111111111]
6193,"[0.1111111111111111, 1.0]"
6194,"[0.1111111111111111, 1.0, 1.0]"
6195,"[0.1111111111111111, 1.0, 1.0, 1.0]"
6196,[0.7777777777777778]
6197,"[0.7777777777777778, 1.0]"
6198,"[0.7777777777777778, 1.0, 0.2]"
6199,"[0.7777777777777778, 1.0, 0.2, 1.0]"
6200,[1.0]
6201,"[1.0, 1.0]"
6202,"[1.0, 1.0, 0.6666666666666666]"
6203,"[1.0, 1.0, 0.6666666666666666, 1.0]"
6204,"[1.0, 1.0, 0.6666666666666666, 1.0, 1.0]"
6205,[0.7777777777777778]
6206,"[0.7777777777777778, 1.0]"
6207,"[0.7777777777777778, 1.0, 1.0]"
6208,[1.0]
6209,"[1.0, 1.0]"
6210,"[1.0, 1.0, 1.0]"
6211,"[1.0, 1.0, 1.0, 1.0]"
6212,[1.0]
6213,"[1.0, 1.0]"
6214,"[1.0, 1.0, 0.8095238095238095]"
6215,"[1.0, 1.0, 0.8095238095238095, 0.5555555555555556]"
6216,"[1.0, 1.0, 0.8095238095238095, 0.5555555555555556, 0.8461538461538461]"
6217,[0.3846153846153846]
6218,"[0.3846153846153846, 1.0]"
6219,"[0.3846153846153846, 1.0, 1.0]"
6220,"[0.3846153846153846, 1.0, 1.0, 0.3333333333333333]"
6221,[1.0]
6222,"[1.0, 0.8461538461538461]"
6223,"[1.0, 0.8461538461538461, 0.238095238095238]"
6224,"[1.0, 0.8461538461538461, 0.238095238095238, 0.6666666666666666]"
6225,[0.7777777777777778]
6226,"[0.7777777777777778, 1.0]"
6227,"[0.7777777777777778, 1.0, 1.0]"
6228,"[0.7777777777777778, 1.0, 1.0, 1.0]"
6229,[0.8461538461538461]
6230,"[0.8461538461538461, 0.6190476190476191]"
6231,"[0.8461538461538461, 0.6190476190476191, 1.0]"
6232,"[0.8461538461538461, 0.6190476190476191, 1.0, 1.0]"
6233,[0.5555555555555556]
6234,"[0.5555555555555556, 1.0]"
6235,"[0.5555555555555556, 1.0, 0.1111111111111111]"
6236,"[0.5555555555555556, 1.0, 0.1111111111111111, 1.0]"
6237,"[0.5555555555555556, 1.0, 0.1111111111111111, 1.0, 1.0]"
6238,[1.0]
6239,"[1.0, 0.3333333333333333]"
6240,"[1.0, 0.3333333333333333, 1.0]"
6241,"[1.0, 0.3333333333333333, 1.0, 1.0]"
6242,[0.8461538461538461]
6243,"[0.8461538461538461, 1.0]"
6244,"[0.8461538461538461, 1.0, 1.0]"
6245,"[0.8461538461538461, 1.0, 1.0, 0.3333333333333333]"
6246,"[0.8461538461538461, 1.0, 1.0, 0.3333333333333333, 1.0]"
6247,[0.1111111111111111]
6248,"[0.1111111111111111, 1.0]"
6249,"[0.1111111111111111, 1.0, 1.0]"
6250,"[0.1111111111111111, 1.0, 1.0, 0.7777777777777778]"
6251,[1.0]
6252,"[1.0, 1.0]"
6253,"[1.0, 1.0, 1.0]"
6254,"[1.0, 1.0, 1.0, 0.7777777777777778]"
6255,"[1.0, 1.0, 1.0, 0.7777777777777778, 0.1111111111111111]"
6256,[1.0]
6257,"[1.0, 1.0]"
6258,"[1.0, 1.0, 1.0]"
6259,[1.0]
6260,"[1.0, 1.0]"
6261,"[1.0, 1.0, 1.0]"
6262,"[1.0, 1.0, 1.0, 0.3333333333333333]"
6263,[1.0]
6264,"[1.0, 1.0]"
6265,"[1.0, 1.0, 1.0]"
6266,"[1.0, 1.0, 1.0, 0.6666666666666666]"
6267,"[1.0, 1.0, 1.0, 0.6666666666666666, 0.1111111111111111]"
6268,[0.8]
6269,"[0.8, 0.3333333333333333]"
6270,"[0.8, 0.3333333333333333, 1.0]"
6271,"[0.8, 0.3333333333333333, 1.0, 0.5555555555555556]"
6272,"[0.8, 0.3333333333333333, 1.0, 0.5555555555555556, 1.0]"
6273,[1.0]
6274,"[1.0, 0.8]"
6275,"[1.0, 0.8, 1.0]"
6276,"[1.0, 0.8, 1.0, 0.3333333333333333]"
6277,[1.0]
6278,"[1.0, 0.3333333333333333]"
6279,"[1.0, 0.3333333333333333, 1.0]"
6280,"[1.0, 0.3333333333333333, 1.0, 0.3333333333333333]"
6281,"[1.0, 0.3333333333333333, 1.0, 0.3333333333333333, 1.0]"
6282,[1.0]
6283,"[1.0, 1.0]"
6284,"[1.0, 1.0, 1.0]"
6285,"[1.0, 1.0, 1.0, 0.3846153846153846]"
6286,"[1.0, 1.0, 1.0, 0.3846153846153846, 0.1111111111111111]"
6287,[1.0]
6288,"[1.0, 1.0]"
6289,"[1.0, 1.0, 1.0]"
6290,[1.0]
6291,"[1.0, 1.0]"
6292,"[1.0, 1.0, 1.0]"
6293,"[1.0, 1.0, 1.0, 0.3333333333333333]"
6294,[0.8461538461538461]
6295,"[0.8461538461538461, 1.0]"
6296,"[0.8461538461538461, 1.0, 0.1111111111111111]"
6297,"[0.8461538461538461, 1.0, 0.1111111111111111, 1.0]"
6298,"[0.8461538461538461, 1.0, 0.1111111111111111, 1.0, 0.6666666666666666]"
6299,[0.5555555555555556]
6300,"[0.5555555555555556, 0.7777777777777778]"
6301,"[0.5555555555555556, 0.7777777777777778, 0.2]"
6302,"[0.5555555555555556, 0.7777777777777778, 0.2, 0.238095238095238]"
6303,"[0.5555555555555556, 0.7777777777777778, 0.2, 0.238095238095238, 1.0]"
6304,[1.0]
6305,"[1.0, 1.0]"
6306,"[1.0, 1.0, 1.0]"
6307,"[1.0, 1.0, 1.0, 1.0]"
6308,[0.3333333333333333]
6309,"[0.3333333333333333, 1.0]"
6310,"[0.3333333333333333, 1.0, 0.8095238095238095]"
6311,"[0.3333333333333333, 1.0, 0.8095238095238095, 1.0]"
6312,[1.0]
6313,"[1.0, 1.0]"
6314,"[1.0, 1.0, 1.0]"
6315,"[1.0, 1.0, 1.0, 1.0]"
6316,[1.0]
6317,"[1.0, 0.7777777777777778]"
6318,"[1.0, 0.7777777777777778, 0.5555555555555556]"
6319,"[1.0, 0.7777777777777778, 0.5555555555555556, 1.0]"
6320,[0.8461538461538461]
6321,"[0.8461538461538461, 0.1111111111111111]"
6322,"[0.8461538461538461, 0.1111111111111111, 1.0]"
6323,"[0.8461538461538461, 0.1111111111111111, 1.0, 0.3333333333333333]"
6324,"[0.8461538461538461, 0.1111111111111111, 1.0, 0.3333333333333333, 1.0]"
6325,[1.0]
6326,"[1.0, 1.0]"
6327,"[1.0, 1.0, 1.0]"
6328,[1.0]
6329,"[1.0, 1.0]"
6330,"[1.0, 1.0, 0.6666666666666666]"
6331,"[1.0, 1.0, 0.6666666666666666, 1.0]"
6332,[1.0]
6333,"[1.0, 1.0]"
6334,"[1.0, 1.0, 1.0]"
6335,"[1.0, 1.0, 1.0, 1.0]"
6336,"[1.0, 1.0, 1.0, 1.0, 1.0]"
6337,[1.0]
6338,"[1.0, 0.4285714285714285]"
6339,"[1.0, 0.4285714285714285, 1.0]"
6340,"[1.0, 0.4285714285714285, 1.0, 1.0]"
6341,"[1.0, 0.4285714285714285, 1.0, 1.0, 0.7777777777777778]"
6342,[1.0]
6343,"[1.0, 1.0]"
6344,"[1.0, 1.0, 1.0]"
6345,"[1.0, 1.0, 1.0, 1.0]"
6346,"[1.0, 1.0, 1.0, 1.0, 1.0]"
6347,[1.0]
6348,"[1.0, 1.0]"
6349,"[1.0, 1.0, 1.0]"
6350,"[1.0, 1.0, 1.0, 0.7777777777777778]"
6351,[1.0]
6352,"[1.0, 0.3333333333333333]"
6353,"[1.0, 0.3333333333333333, 1.0]"
6354,"[1.0, 0.3333333333333333, 1.0, 0.1111111111111111]"
6355,"[1.0, 0.3333333333333333, 1.0, 0.1111111111111111, 1.0]"
6356,[1.0]
6357,"[1.0, 0.6666666666666666]"
6358,"[1.0, 0.6666666666666666, 1.0]"
6359,"[1.0, 0.6666666666666666, 1.0, 1.0]"
6360,"[1.0, 0.6666666666666666, 1.0, 1.0, 1.0]"
6361,[0.5555555555555556]
6362,"[0.5555555555555556, 1.0]"
6363,"[0.5555555555555556, 1.0, 1.0]"
6364,"[0.5555555555555556, 1.0, 1.0, 1.0]"
6365,[0.8095238095238095]
6366,"[0.8095238095238095, 0.3333333333333333]"
6367,"[0.8095238095238095, 0.3333333333333333, 1.0]"
6368,"[0.8095238095238095, 0.3333333333333333, 1.0, 1.0]"
6369,"[0.8095238095238095, 0.3333333333333333, 1.0, 1.0, 1.0]"
6370,[1.0]
6371,"[1.0, 1.0]"
6372,"[1.0, 1.0, 1.0]"
6373,"[1.0, 1.0, 1.0, 0.2]"
6374,"[1.0, 1.0, 1.0, 0.2, 1.0]"
6375,[1.0]
6376,"[1.0, 0.7777777777777778]"
6377,"[1.0, 0.7777777777777778, 1.0]"
6378,"[1.0, 0.7777777777777778, 1.0, 0.8]"
6379,[1.0]
6380,"[1.0, 0.6190476190476191]"
6381,"[1.0, 0.6190476190476191, 1.0]"
6382,"[1.0, 0.6190476190476191, 1.0, 1.0]"
6383,"[1.0, 0.6190476190476191, 1.0, 1.0, 0.7777777777777778]"
6384,[1.0]
6385,"[1.0, 1.0]"
6386,"[1.0, 1.0, 0.2]"
6387,"[1.0, 1.0, 0.2, 1.0]"
6388,[1.0]
6389,"[1.0, 1.0]"
6390,"[1.0, 1.0, 1.0]"
6391,"[1.0, 1.0, 1.0, 1.0]"
6392,[1.0]
6393,"[1.0, 1.0]"
6394,"[1.0, 1.0, 1.0]"
6395,"[1.0, 1.0, 1.0, 1.0]"
6396,[1.0]
6397,"[1.0, 1.0]"
6398,"[1.0, 1.0, 1.0]"
6399,"[1.0, 1.0, 1.0, 0.8]"
6400,"[1.0, 1.0, 1.0, 0.8, 0.238095238095238]"
6401,[1.0]
6402,"[1.0, 1.0]"
6403,"[1.0, 1.0, 1.0]"
6404,"[1.0, 1.0, 1.0, 0.8461538461538461]"
6405,[1.0]
6406,"[1.0, 1.0]"
6407,"[1.0, 1.0, 0.5555555555555556]"
6408,"[1.0, 1.0, 0.5555555555555556, 0.6666666666666666]"
6409,[1.0]
6410,"[1.0, 0.1111111111111111]"
6411,"[1.0, 0.1111111111111111, 1.0]"
6412,"[1.0, 0.1111111111111111, 1.0, 0.6666666666666666]"
6413,[1.0]
6414,"[1.0, 0.6666666666666666]"
6415,"[1.0, 0.6666666666666666, 1.0]"
6416,"[1.0, 0.6666666666666666, 1.0, 0.1111111111111111]"
6417,"[1.0, 0.6666666666666666, 1.0, 0.1111111111111111, 0.238095238095238]"
6418,[1.0]
6419,"[1.0, 0.8]"
6420,"[1.0, 0.8, 1.0]"
6421,"[1.0, 0.8, 1.0, 0.6190476190476191]"
6422,[1.0]
6423,"[1.0, 0.5555555555555556]"
6424,"[1.0, 0.5555555555555556, 0.1111111111111111]"
6425,[1.0]
6426,"[1.0, 0.3333333333333333]"
6427,"[1.0, 0.3333333333333333, 1.0]"
6428,"[1.0, 0.3333333333333333, 1.0, 1.0]"
6429,[1.0]
6430,"[1.0, 1.0]"
6431,"[1.0, 1.0, 0.3333333333333333]"
6432,"[1.0, 1.0, 0.3333333333333333, 0.3333333333333333]"
6433,[1.0]
6434,"[1.0, 1.0]"
6435,"[1.0, 1.0, 0.5555555555555556]"
6436,"[1.0, 1.0, 0.5555555555555556, 1.0]"
6437,"[1.0, 1.0, 0.5555555555555556, 1.0, 1.0]"
6438,[1.0]
6439,"[1.0, 1.0]"
6440,"[1.0, 1.0, 1.0]"
6441,"[1.0, 1.0, 1.0, 1.0]"
6442,[1.0]
6443,"[1.0, 0.8095238095238095]"
6444,"[1.0, 0.8095238095238095, 0.3846153846153846]"
6445,"[1.0, 0.8095238095238095, 0.3846153846153846, 1.0]"
6446,[0.8]
6447,"[0.8, 1.0]"
6448,"[0.8, 1.0, 1.0]"
6449,"[0.8, 1.0, 1.0, 1.0]"
6450,[0.5384615384615384]
6451,"[0.5384615384615384, 1.0]"
6452,"[0.5384615384615384, 1.0, 0.7777777777777778]"
6453,"[0.5384615384615384, 1.0, 0.7777777777777778, 1.0]"
6454,[1.0]
6455,"[1.0, 1.0]"
6456,"[1.0, 1.0, 1.0]"
6457,"[1.0, 1.0, 1.0, 1.0]"
6458,[0.3333333333333333]
6459,"[0.3333333333333333, 1.0]"
6460,"[0.3333333333333333, 1.0, 1.0]"
6461,"[0.3333333333333333, 1.0, 1.0, 0.6666666666666666]"
6462,[0.1111111111111111]
6463,"[0.1111111111111111, 1.0]"
6464,"[0.1111111111111111, 1.0, 1.0]"
6465,"[0.1111111111111111, 1.0, 1.0, 1.0]"
6466,[1.0]
6467,"[1.0, 1.0]"
6468,"[1.0, 1.0, 1.0]"
6469,"[1.0, 1.0, 1.0, 1.0]"
6470,[0.6923076923076923]
6471,"[0.6923076923076923, 1.0]"
6472,"[0.6923076923076923, 1.0, 1.0]"
6473,"[0.6923076923076923, 1.0, 1.0, 0.5555555555555556]"
6474,[1.0]
6475,"[1.0, 1.0]"
6476,"[1.0, 1.0, 0.6666666666666666]"
6477,"[1.0, 1.0, 0.6666666666666666, 1.0]"
6478,[1.0]
6479,"[1.0, 1.0]"
6480,"[1.0, 1.0, 1.0]"
6481,"[1.0, 1.0, 1.0, 1.0]"
6482,[1.0]
6483,"[1.0, 1.0]"
6484,"[1.0, 1.0, 0.3846153846153846]"
6485,[1.0]
6486,"[1.0, 0.8461538461538461]"
6487,"[1.0, 0.8461538461538461, 1.0]"
6488,"[1.0, 0.8461538461538461, 1.0, 0.1111111111111111]"
6489,"[1.0, 0.8461538461538461, 1.0, 0.1111111111111111, 1.0]"
6490,[0.4285714285714285]
6491,"[0.4285714285714285, 0.6666666666666666]"
6492,"[0.4285714285714285, 0.6666666666666666, 1.0]"
6493,"[0.4285714285714285, 0.6666666666666666, 1.0, 0.6]"
6494,"[0.4285714285714285, 0.6666666666666666, 1.0, 0.6, 1.0]"
6495,[1.0]
6496,"[1.0, 1.0]"
6497,"[1.0, 1.0, 1.0]"
6498,"[1.0, 1.0, 1.0, 0.6666666666666666]"
6499,"[1.0, 1.0, 1.0, 0.6666666666666666, 1.0]"
6500,[0.2]
6501,"[0.2, 0.8461538461538461]"
6502,"[0.2, 0.8461538461538461, 1.0]"
6503,"[0.2, 0.8461538461538461, 1.0, 0.5555555555555556]"
6504,"[0.2, 0.8461538461538461, 1.0, 0.5555555555555556, 1.0]"
6505,[1.0]
6506,"[1.0, 1.0]"
6507,"[1.0, 1.0, 0.1111111111111111]"
6508,"[1.0, 1.0, 0.1111111111111111, 1.0]"
6509,"[1.0, 1.0, 0.1111111111111111, 1.0, 0.4285714285714285]"
6510,[0.2]
6511,"[0.2, 1.0]"
6512,"[0.2, 1.0, 1.0]"
6513,"[0.2, 1.0, 1.0, 0.3333333333333333]"
6514,[0.5555555555555556]
6515,"[0.5555555555555556, 0.7777777777777778]"
6516,"[0.5555555555555556, 0.7777777777777778, 1.0]"
6517,"[0.5555555555555556, 0.7777777777777778, 1.0, 1.0]"
6518,[1.0]
6519,"[1.0, 1.0]"
6520,"[1.0, 1.0, 1.0]"
6521,"[1.0, 1.0, 1.0, 1.0]"
6522,"[1.0, 1.0, 1.0, 1.0, 1.0]"
6523,[1.0]
6524,"[1.0, 1.0]"
6525,"[1.0, 1.0, 1.0]"
6526,"[1.0, 1.0, 1.0, 1.0]"
6527,[1.0]
6528,"[1.0, 1.0]"
6529,"[1.0, 1.0, 0.7777777777777778]"
6530,"[1.0, 1.0, 0.7777777777777778, 1.0]"
6531,"[1.0, 1.0, 0.7777777777777778, 1.0, 0.5555555555555556]"
6532,[0.8461538461538461]
6533,"[0.8461538461538461, 1.0]"
6534,"[0.8461538461538461, 1.0, 1.0]"
6535,"[0.8461538461538461, 1.0, 1.0, 1.0]"
6536,[1.0]
6537,"[1.0, 1.0]"
6538,"[1.0, 1.0, 1.0]"
6539,[1.0]
6540,"[1.0, 1.0]"
6541,"[1.0, 1.0, 1.0]"
6542,"[1.0, 1.0, 1.0, 1.0]"
6543,"[1.0, 1.0, 1.0, 1.0, 0.6666666666666666]"
6544,[0.6666666666666666]
6545,"[0.6666666666666666, 1.0]"
6546,"[0.6666666666666666, 1.0, 1.0]"
6547,"[0.6666666666666666, 1.0, 1.0, 1.0]"
6548,"[0.6666666666666666, 1.0, 1.0, 1.0, 1.0]"
6549,[0.1111111111111111]
6550,"[0.1111111111111111, 1.0]"
6551,"[0.1111111111111111, 1.0, 1.0]"
6552,"[0.1111111111111111, 1.0, 1.0, 0.3333333333333333]"
6553,"[0.1111111111111111, 1.0, 1.0, 0.3333333333333333, 0.3333333333333333]"
6554,[1.0]
6555,"[1.0, 1.0]"
6556,"[1.0, 1.0, 0.2]"
6557,"[1.0, 1.0, 0.2, 0.3333333333333333]"
6558,"[1.0, 1.0, 0.2, 0.3333333333333333, 0.8095238095238095]"
6559,[1.0]
6560,"[1.0, 1.0]"
6561,"[1.0, 1.0, 0.6666666666666666]"
6562,"[1.0, 1.0, 0.6666666666666666, 0.1111111111111111]"
6563,[1.0]
6564,"[1.0, 1.0]"
6565,"[1.0, 1.0, 1.0]"
6566,"[1.0, 1.0, 1.0, 0.3846153846153846]"
6567,"[1.0, 1.0, 1.0, 0.3846153846153846, 1.0]"
6568,[1.0]
6569,"[1.0, 1.0]"
6570,"[1.0, 1.0, 0.1111111111111111]"
6571,"[1.0, 1.0, 0.1111111111111111, 0.5555555555555556]"
6572,[1.0]
6573,"[1.0, 1.0]"
6574,"[1.0, 1.0, 1.0]"
6575,"[1.0, 1.0, 1.0, 0.8]"
6576,[0.6666666666666666]
6577,"[0.6666666666666666, 1.0]"
6578,"[0.6666666666666666, 1.0, 1.0]"
6579,"[0.6666666666666666, 1.0, 1.0, 1.0]"
6580,"[0.6666666666666666, 1.0, 1.0, 1.0, 1.0]"
6581,[0.6666666666666666]
6582,"[0.6666666666666666, 1.0]"
6583,"[0.6666666666666666, 1.0, 0.7777777777777778]"
6584,"[0.6666666666666666, 1.0, 0.7777777777777778, 0.2]"
6585,"[0.6666666666666666, 1.0, 0.7777777777777778, 0.2, 1.0]"
6586,[0.5555555555555556]
6587,"[0.5555555555555556, 1.0]"
6588,"[0.5555555555555556, 1.0, 0.8]"
6589,"[0.5555555555555556, 1.0, 0.8, 0.1111111111111111]"
6590,"[0.5555555555555556, 1.0, 0.8, 0.1111111111111111, 0.8461538461538461]"
6591,[1.0]
6592,"[1.0, 0.1111111111111111]"
6593,"[1.0, 0.1111111111111111, 1.0]"
6594,"[1.0, 0.1111111111111111, 1.0, 0.3333333333333333]"
6595,[1.0]
6596,"[1.0, 1.0]"
6597,"[1.0, 1.0, 1.0]"
6598,"[1.0, 1.0, 1.0, 0.3333333333333333]"
6599,"[1.0, 1.0, 1.0, 0.3333333333333333, 0.8461538461538461]"
6600,[1.0]
6601,"[1.0, 1.0]"
6602,"[1.0, 1.0, 1.0]"
6603,[1.0]
6604,"[1.0, 1.0]"
6605,"[1.0, 1.0, 1.0]"
6606,"[1.0, 1.0, 1.0, 1.0]"
6607,[1.0]
6608,"[1.0, 0.3333333333333333]"
6609,"[1.0, 0.3333333333333333, 0.5555555555555556]"
6610,"[1.0, 0.3333333333333333, 0.5555555555555556, 1.0]"
6611,[1.0]
6612,"[1.0, 0.6666666666666666]"
6613,"[1.0, 0.6666666666666666, 0.4285714285714285]"
6614,"[1.0, 0.6666666666666666, 0.4285714285714285, 0.3846153846153846]"
6615,"[1.0, 0.6666666666666666, 0.4285714285714285, 0.3846153846153846, 1.0]"
6616,[0.6666666666666666]
6617,"[0.6666666666666666, 1.0]"
6618,"[0.6666666666666666, 1.0, 0.6190476190476191]"
6619,"[0.6666666666666666, 1.0, 0.6190476190476191, 1.0]"
6620,[0.1111111111111111]
6621,"[0.1111111111111111, 0.2]"
6622,"[0.1111111111111111, 0.2, 1.0]"
6623,"[0.1111111111111111, 0.2, 1.0, 1.0]"
6624,"[0.1111111111111111, 0.2, 1.0, 1.0, 1.0]"
6625,[1.0]
6626,"[1.0, 1.0]"
6627,"[1.0, 1.0, 1.0]"
6628,"[1.0, 1.0, 1.0, 0.2]"
6629,"[1.0, 1.0, 1.0, 0.2, 1.0]"
6630,[1.0]
6631,"[1.0, 0.8]"
6632,"[1.0, 0.8, 1.0]"
6633,"[1.0, 0.8, 1.0, 0.6190476190476191]"
6634,"[1.0, 0.8, 1.0, 0.6190476190476191, 1.0]"
6635,[0.2]
6636,"[0.2, 0.3333333333333333]"
6637,"[0.2, 0.3333333333333333, 1.0]"
6638,"[0.2, 0.3333333333333333, 1.0, 1.0]"
6639,[0.1111111111111111]
6640,"[0.1111111111111111, 0.1111111111111111]"
6641,"[0.1111111111111111, 0.1111111111111111, 1.0]"
6642,"[0.1111111111111111, 0.1111111111111111, 1.0, 1.0]"
6643,"[0.1111111111111111, 0.1111111111111111, 1.0, 1.0, 0.8]"
6644,[0.1111111111111111]
